"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"52.","AMIGO HOLDINGS PLC","10024479","64205","31/03/2024","3500","133","26","AMGO","Activities of financial services holding companies","GB00BFFK8T45","-19200","-18800","-12700","-200","","","","","","","","","-178000","","","-700","-200","-177100","-178200","0","","-200","178200","0","","","","","","","","","","","","","","","","n.a.","","1200","","","","-1200","207900","","86100","-295200","n.a.","n.a.","5400","","","","","","","","-100","5300","n.s.","n.s."
"53.","AMINEX PUBLIC LIMITED COMPANY","IE072399","4671","31/12/2024","31.2013708803619","5","31","AEXFF","Wholesale of solid, liquid and gaseous fuels and related products","IE0003073255","-4162.52935989139","-4164.12926032509","-4240.93110598909","-96.0023070800029","-1543.24805871309","","-1242.43862158024","","","","","-300.809437132848","-4914.55046840607","","","-2466.47590385552","-1288.03909636388","-1160.03546818667","-6553.80414662242","-4468.94010475381","26678.4299954417","-48.8011037568503","33232.2341420641","26678.4299954417","","","","","","","","","","","","-4585.7419455777","","-4585.7419455777","","-4585.7419455777","22092.688049864","55764.1379224804","","","","-33671.4490445106","102730.402657412","","-136068.240993476","-333.609052235278","n.a.","22092.6888779698","-1729.65384946097","","","-207.205324491762","","","","","361.610622248245","-1575.24855170449","n.s.","n.s."
"54.","ANANDA PHARMA LIMITED","11159584","64303","31/01/2025","1.018","9","34","ANA","Activities of venture and development capital companies","GB00BDQPXQ60","-3570.985","-2937.019","-3770.487","-48.671","-1211.102","","","-473.321","","","","-737.781","-1190.746","","","-1130.328","-0.524","-59.894","-2450.519","-630.14","734.486","-48.611","4627.555","2177.036","","","","","","","","","","","","-49.436","-49.436","","","-49.436","2127.6","8598.293","","","","-6470.693","6771.545","","-13466.929","224.691","n.a.","2127.6","-1036.082","239.892","","","","","","","2375.857","1579.667","n.s.","n.s."
"55.","ANDREWS SYKES GROUP PLC","00175912","64209","31/12/2024","75942","446","99","ASY","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB0002684552","23187","32084","23187","-3931","-364","","-364","","","","","","-14597","-471","","-9431","-1891","-2804","-18892","25340","46529","12708","80295","61403","","","","","","","","","-13473","","-13473","-1745","-185","-1560","","-15218","46185","419","","","","45766","13","","42231","3522","n.a.","46185","21564","-63","-226","-4225","","","-10841","","-2920","3289","42.248031392","30.532511654"
"56.","ANGLESEY MINING PLC","01849957","07290","31/03/2025","","4","29","AYM","Mining of other non-ferrous metal ores","GB0000320472","-469.013","-446.092","-656.504","-107.559","","","","","","","","","-156.275","","","-156.275","","","-263.834","-182.582","1377.643","-107.559","18633.979","18370.145","-4046.102","-4046.102","","","","","","","","","","-50","","-50","","-4096.102","14274.043","10359.056","","","","3914.987","12910.853","","-8913.157","-82.709","n.a.","14274.043","-595.172","202.561","","-330.693","","","","","547.922","-175.382","",""
"57.","ANGLING DIRECT PLC","05151321","47640","31/01/2025","91339","478","99","ANG","Retail sale of sporting equipment in specialised stores","GB00BF1XGQ00","2042","6068","1958","-5974","","","","","","","","","-5705","","","-1970","-687","-3048","-11679","23008","33958","16079","64344","52665","","","","","","","","","-10649","","-10649","-2595","-1673","-922","","-13244","39421","773","","","","38648","31037","","7524","87","n.a.","39421","3978","","-97","-4879","","","","","-2612","-3610","6.64338344","2.143662619"
"58.","ANGLO AMERICAN PLC","03564138","08990","31/12/2024","21795000","54000","92","AAL","Other mining and quarrying n.e.c.","GB00BTK05J60","-182000","6218000","-738000","-2015000","-1423000","-38000","","","","","","-1385000","-3937000","-153000","","-1699000","-135000","-1950000","-7374000","8328000","42874000","3467000","51806000","44432000","-12193000","","","","","","","-12193000","-2153000","","-2153000","-6897000","-4841000","-2056000","-402000","-21644000","22788000","586000","","","","15994000","2043000","","29346000","-15395000","6208000","22788000","6877000","35000","-1257000","-4403000","","","-819000","","1267000","1700000","28.529479238","-3.386097729"
"59.","ANGLO ASIAN MINING PLC","05227012","08990","31/12/2024","31615","939","89","AAZ","Other mining and quarrying n.e.c.","GB00B0C18177","-15046","-4240","-17003","-4395","-14812","","","","","","","-14812","-11891","","","-11339","","-552","-31097","3150","65491","15393","117104","86007","-3625","","","","","","-1163","-2462","-380","","-380","-28195","-13159","-15036","","-32200","53807","1610","","","","52197","26","","15061","37110","n.a.","53807","4707","1118","","-8836","","","","","179","-2832","-13.411355369","-53.781432864"
"60.","ANGUS ENERGY PLC","09616076","06100","30/09/2024","21802","27","29","ANGS","Extraction of crude petroleum","GB00BYWKC989","-2697","10805","-4301","-3637","","","","","","","","","-18760","","","-857","","-17903","-22397","-16854","-16843","-3637","81961","59564","-14988","","","","","","","-14988","-190","","-190","-5698","","-5698","","-20876","38688","8844","","","","29844","48412","","-18368","-200","n.a.","38688","-160","562","","-5854","","","","","5443","-9","49.559673424","-19.727547931"
"61.","ANIMALCARE GROUP PLC","01058015","46460","31/12/2024","74228","201","92","ANCR","Wholesale of pharmaceutical goods","GB0032350695","7055","14259","5783","-12908","-976","-976","","","","","","","-6724","-670","","","-1398","-4656","-20608","77353","79932","12347","158813","138205","-19754","","","","","","","-19754","-1594","","-1594","-3545","-3395","-150","","-24893","113312","13795","","","","99517","149992","","4197","-54672","n.a.","113312","12325","-1","-777","-34849","","","-3019","","35933","9612","19.209732177","7.790860592"
"62.","ANPARIO PLC","03345857","32990","31/12/2024","38195","124","99","ANP","Other manufacturing n.e.c.","GB00B3NWT178","4892","6088","5181","-3049","","","","","","","","","-5178","-141","","-3712","-96","-1229","-8227","19020","26272","11360","47146","38919","","","","","","","","","-109","","-109","-2516","-2516","","","-2625","36294","4703","","","","31591","15982","","23826","-8217","n.a.","36294","6995","289","-1152","-4469","","","-1829","","290","124","15.939259065","13.564602697"
"63.","ANTOFAGASTA PLC","01627889","08990","31/12/2024","5281846","7015","95","ANTO","Other mining and quarrying n.e.c.","GB0000456144","1604265","3153342","1654101","-749221","-974283","","","","","","","-974283","-493171","-84977","","","","-408194","-2216676","2701701","15718314","548359","18077550","15860874","-3172111","","","","","","-1917","-3170194","-532226","","-532226","-1689003","-1351889","-337114","-121556","-5514896","10345978","71720","","","","7485345","159093","","7340787","-14536","2788915","10345979","2564811","-251497","-532545","-1809839","","","-253494","","1520565","1238000","59.701513448","31.316721464"
"64.","AO WORLD PLC","05525751","70100","31/03/2025","1137500","3140","95","AO.","Activities of head offices","GB00BJTNFH41","21100","53000","20600","-145900","-200","-200","","","","","","","-81500","-700","","-45500","","-35300","-227600","-9200","108600","13900","426600","199000","-1700","","","","","","","-1700","-48100","","-48100","-4700","","-4700","","-54500","144500","1500","","","","143000","108500","","-22800","57300","n.a.","144500","55900","-4200","1600","-14500","","","","","-51500","-12700","4.659340659","1.810989011"
"65.","AON PUBLIC LIMITED COMPANY","IE604607","94120","31/12/2024","12558791.4952763","57924","89","AON","Activities of professional membership organisations","IE00BLP1HW54","3068095.64183558","3616912.75034378","2769686.33939357","-2324072.44801054","-2019262.94676945","","","","-1418444.21732547","","-1418444.21732547","-600818.729443981","-14053238.0817255","","","","","-14053238.0817255","-18396573.4765055","349610.89863141","2625681.85109425","718422.39531628","39173221.1473453","20776647.6708399","-13560422.718713","","","-548017.082933728","","-548017.082933728","","-13012405.6357793","-1015231.64743744","","-1015231.64743744","-255207.955372537","-255207.955372537","","-901628.106125104","-15732490.4284762","5044157.24236367","1600.04949274424","","","","4895352.6031018","","","-5643375.92065869","10538728.5237605","147204.58894102","5044157.24153556","2428075.6907102","","","-2266470.65302206","","","","","636819.851311784","798424.888999926","28.799847117","22.05376481"
"66.","APPLIED NUTRITION PLC","09131749","47990","31/07/2024","86151.551","195","97","APN","Other retail sale not in stores, stalls or markets","GB00BPVDXX64","23769.665","24355.919","24503.424","-3770.139","","","","","","","","","-5634.318","","","-4881.234","-734.986","-18.098","-9404.457","46151.777","47839.873","31322.514","57286.629","47882.172","","","","","","","","","","","","-237.079","","-237.079","","-237.079","47645.093","0.1","","","","47644.993","","","47399.373","245.62","n.a.","47645.093","16110.189","613.745","-9747.459","","-1019.784","","","","-0.554","5956.137","28.27101627","28.442231992"
"67.","APTITUDE SOFTWARE GROUP PLC","01602662","70100","31/12/2024","70044","465","97","APTD","Activities of head offices","GB00BVVHWX30","5675","10426","5593","-405","-7180","-7180","","","","","","","-42785","-1802","","-39134","-929","-920","-50370","-3001","399","11685","114783","64413","","","","","","","","","-2416","","-2416","-4080","-3722","-358","","-6496","57917","4204","","","","53713","11959","","-23","41777","n.a.","57917","8770","224","-1854","-1601","","","-3081","","-5900","-3442","14.884929473","7.984980869"
"68.","AQUILA ENERGY EFFICIENCY TRUST PLC","13324616","64301","31/12/2024","5397","","29","AEET","Activities of investment trusts","GB00BN6JYS78","-178","-178","-178","","-24","","","","","","","-24","-1137","","","-1094","","-43","-1161","13336","69667","80","70828","69667","","","","","","","","","","","","","","","","n.a.","69667","814","","","","68853","","","-219","69072","n.a.","69667","2513","","","5670","","","-4999","","-17588","-14404","","-3.29812859"
"69.","AQUILA EUROPEAN RENEWABLES PLC","11932433","64301","31/12/2024","11296.189","","29","AERI","Activities of investment trusts","GB00BK6RLF66","8045.797","8045.797","8044.142","","","","","","","","","","-1154.831","","","-1154.831","","","-1154.831","-165.33","264720.178","","265875.009","264720.178","","","","","","","","","","","","","","","","n.a.","264720.178","3374.39","","","","261345.786","211327.601","","804.331","49213.853","n.a.","264720.178","7231.545","","","10356.287","","","-17888.733","","","-300.9","","71.211113766"
"70.","ARBUTHNOT BANKING GROUP PLC","01954085","64191","31/12/2024","110832","914","92","ARBB","Banks","GB0007922338","35090","98261","35090","-4138722","-37982","","","","","","","-37982","-33243","-3001","","-29155","","-1087","-4209947","117641","441204","-2009403","4729227","519280","-192911","","","","","","","-192911","-53742","","-53742","-5671","-5671","","","-252324","266956","167","","","","266789","11606","","254575","608","n.a.","266956","375537","598","-6976","-282867","","","-10934","","-2440","72918","88.657607911","31.660531255"
"71.","ARCONTECH GROUP PLC","04062416","62090","30/06/2025","3106.991","18","99","ARC","Other information technology and computer service activities","GB00BDBBJZ03","778.553","896.92","987.39","-64.882","","","","","","","","","-1646.865","","","-910.517","-75.759","-660.589","-1711.747","6517.229","7002.943","-64.882","10821.212","9109.465","","","","","","","","","-307.696","","-307.696","-70","","-70","","-377.696","8731.769","1671.601","","","","7060.168","115.761","","6620.719","323.688","n.a.","8731.769","708.698","208.837","-61.304","-9.107","","","-501.48","","-110.307","235.337","28.867801677","31.779622149"
"72.","ARECOR THERAPEUTICS PLC","13331147","64209","31/12/2024","5053","44","29","AREC","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BMWLM973","-10697","-8448","-10618","-1108","","","","","","","","","-2148","","","-1776","-93","-279","-3256","4978","5255","1901","8722","5466","","","","","","","","","-111","","-111","-6","","-6","","-117","5349","378","","","","4971","34684","","-44958","15245","n.a.","5349","-9076","","","1618","","","","","5670","-1788","n.s.","n.s."
"73.","ARGENTEX GROUP PLC","11965856","64999","31/12/2024","50300","197","n.a.","AGXTF","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB00BJLPH056","-200","2700","-1000","-38200","","","","","","","","","-56500","","","-8500","-100","-47900","-94700","32000","49800","-38200","156800","62100","","","","","","","","","-18400","","-18400","-300","","-300","","-18700","43400","100","","","","43300","15700","","23000","4600","n.a.","43400","17200","800","-1300","-2100","","","","","1100","15700","5.367793241","-1.988071571"
